82	63.6
81.8	64.2
81.6	64.8
81.4	65.4
81.2	66
81	66.6
80.8	67.2
80.6	67.8
80.4	68.4
80.2	69
80	69.6
79.8	70.2
79.6	70.8
79.4	71.4
79.2	72
79	72.6
78.8	73.2
78.6	73.8
78.4	74.4
78.2	75
78	75.6
77.8	76.2
77.6	76.8
77.4	77.4
77.2	78
77	78.6
76.8	79.2
76.6	79.8
76.4	80.4
76.2	81
76	81.6
75.8	82.2
75.6	82.8
75.4	83.4
75.2	84
75	84.6
74.8	85.2
74.6	85.8
74.4	86.4
74.2	87
74	87.6
73.8	88.2
73.6	88.8
73.4	89.4
73.2	90
73	90.6
72.8	91.2
72.6	91.8
72.4	92.4
72.2	93
72	93.6
71.8	94.2
71.6	94.8
71.4	95.4
71.2	96
71	96.6
70.8	97.2
70.6	97.8
70.4	98.4
70.2	99
70	99.6
69.8	100
69.6	99.4
69.4	98.8
69.2	98.2
69	97.6
68.8	97
68.6	96.4
68.4	95.8
68.2	95.2
68	94.6
67.8	94
67.6	93.4
67.4	92.8
67.2	92.2
67	91.6
66.8	91
66.6	90.4
66.4	89.8
66.2	89.2
66	88.6
65.8	88
65.6	87.4
65.4	86.8
65.2	86.2
65	85.6
64.8	85
64.6	84.4
64.4	83.8
64.2	83.2
64	82.6
63.8	82
63.6	81.4
63.4	80.8
63.2	80.2
63	79.6
62.8	79
62.6	78.4
62.4	77.8
62.2	77.2
62	76.6
61.8	76
61.6	75.4
61.4	74.8
61.2	74.2
61	73.6
60.8	73
60.6	72.4
60.4	71.8
60.2	71.2
60	70.6
59.8	70
59.6	69.4
59.4	68.8
59.2	68.2
59	67.6
58.8	67
58.6	66.4
58.4	65.8
58.2	65.2
58	64.6
57.8	64
57.6	63.4
57.4	62.8
57.2	62.2
57	61.6
56.8	61
56.6	60.4
56.4	59.8
56.2	59.2
56	58.6
55.8	58
55.6	57.4
55.4	56.8
55.2	56.2
55	55.6
54.8	55
54.6	54.4
54.4	53.8
54.2	53.2
54	52.6
53.8	52
53.6	51.4
53.4	50.8
53.2	50.2
53	49.6
52.8	49
52.6	48.4
52.4	47.8
52.2	47.2
52	46.6
51.8	46
51.6	45.4
51.4	44.8
51.2	44.2
51	43.6
50.8	43
50.6	42.4
50.4	41.8
50.2	41.2
50	40.6
49.8	40
49.6	39.4
49.4	38.8
49.2	38.2
49	37.6
48.8	37
48.6	36.4
48.4	35.8
48.2	35.2
48	34.6
47.8	34
47.6	33.4
47.4	32.8
47.2	32.2
47	31.6
46.8	31
46.6	30.4
46.4	29.8
46.2	29.2
46	28.6
45.8	28
45.6	27.4
45.4	26.8
45.2	26.2
45	25.6
44.8	25
44.6	24.4
44.4	23.8
44.2	23.2
44	22.6
43.8	22
43.6	21.4
43.4	20.8
43.2	20.2
43	19.6
42.8	19
42.6	18.4
42.4	17.8
42.2	17.2
42	16.6
41.8	16
41.6	15.4
41.4	14.8
41.2	14.2
41	13.6
40.8	13
40.6	12.4
40.4	11.8
